,K,alpha,k,accuracy,precision,recall
0,10.0,0.0,1.0,0.951,0.9508901946642003,0.9508227635151345
1,10.0,0.0,2.0,0.933,0.9364955359138779,0.9320278806773787
2,10.0,0.0,3.0,0.951,0.9517562836273802,0.9506308967576084
3,10.0,0.0,4.0,0.948,0.9494190022597693,0.9474532000405682
4,10.0,0.0,5.0,0.941,0.942196135116536,0.9400971494745367
5,10.0,0.0,6.0,0.937,0.9382039522799352,0.9360419392329483
6,10.0,0.0,7.0,0.937,0.9386207167489727,0.9360962725555915
7,10.0,0.0,8.0,0.939,0.9405108766433191,0.9381364244817988
8,10.0,0.0,9.0,0.935,0.9369464072699693,0.9340403807775077
9,10.0,0.0,10.0,0.94,0.9418839236229972,0.9390470171145834
10,10.0,0.0,11.0,0.935,0.9373133889276304,0.9340444498078924
11,10.0,0.0,12.0,0.935,0.9374914653012061,0.9340446498278944
12,10.0,0.0,13.0,0.937,0.9393480815745399,0.9360446498278945
13,10.0,0.0,14.0,0.934,0.9369802609491187,0.9330906450697661
14,10.0,0.0,15.0,0.931,0.9341124033640771,0.9299853819118713
15,10.0,0.0,16.0,0.935,0.9381321292770419,0.9339920182489472
16,10.0,0.0,17.0,0.933,0.9358742810732098,0.9320889593195723
17,10.0,0.0,18.0,0.936,0.9385429832284631,0.9352109802720328
18,10.0,0.0,19.0,0.93,0.9327946512846417,0.9290547712853842
19,10.0,0.0,20.0,0.931,0.9337793936031437,0.9302101918881733
20,10.0,0.0,21.0,0.93,0.9325215790249637,0.9290429685315876
21,10.0,0.0,22.0,0.926,0.9285980114761998,0.9249393911238863
22,10.0,0.0,23.0,0.928,0.9305711716444434,0.927081430070049
23,10.0,0.0,24.0,0.928,0.9305334639916574,0.9270614120763468
24,10.0,0.0,25.0,0.928,0.9310301411590857,0.9270087804973995
25,10.0,0.0,30.0,0.921,0.9250007644272842,0.9198867639988257
26,10.0,0.0,35.0,0.916,0.920904959543447,0.9145786150759155
27,10.0,0.0,40.0,0.915,0.9197946016851738,0.9136003188198114
28,10.0,0.0,45.0,0.91,0.9155281379389619,0.9085418597350365
29,10.0,0.0,50.0,0.909,0.9145231111548313,0.907600323273698
30,10.0,0.0,60.0,0.906,0.9125827124271417,0.9049295148513974
31,10.0,0.0,70.0,0.904,0.9115556845833496,0.9027133406023937
32,10.0,0.0,80.0,0.89,0.8990786233225256,0.888532444531652
33,10.0,0.0,90.0,0.884,0.8956425980952962,0.8824054729923094
34,10.0,0.0,1.0,0.951,0.9513990812623918,0.9507019571433573
35,10.0,0.0,2.0,0.932,0.9344731021476494,0.9307660006840692
36,10.0,0.0,3.0,0.938,0.9390944841209417,0.9368193205179098
37,10.0,0.0,4.0,0.939,0.9403621042401149,0.9377686237919554
38,10.0,0.0,5.0,0.949,0.9512219147467779,0.9481214885072726
39,10.0,0.0,6.0,0.94,0.9426225534063309,0.939133026074426
40,10.0,0.0,7.0,0.946,0.948403288336593,0.9449960613028981
41,10.0,0.0,8.0,0.942,0.945118692789136,0.9411008661562107
42,10.0,0.0,9.0,0.937,0.9404244912064288,0.9358657740643634
43,10.0,0.0,10.0,0.94,0.9433146134260662,0.9389363146349041
44,10.0,0.0,11.0,0.937,0.9406452428860999,0.9359953287202339
45,10.0,0.0,12.0,0.934,0.9380552841383848,0.932820676188826
46,10.0,0.0,13.0,0.94,0.9443591195956742,0.9391251576541866
47,10.0,0.0,14.0,0.935,0.9394814292479401,0.9340337902586955
48,10.0,0.0,15.0,0.936,0.9408316606622238,0.9351107133356183
49,10.0,0.0,16.0,0.935,0.939939927672414,0.9342286652576941
50,10.0,0.0,17.0,0.933,0.9380934258738807,0.9321760336787467
51,10.0,0.0,18.0,0.933,0.9377236584896199,0.9321375721402851
52,10.0,0.0,19.0,0.932,0.9372723029735097,0.9311297641587929
53,10.0,0.0,20.0,0.929,0.9337890174659643,0.9280386710413842
54,10.0,0.0,21.0,0.926,0.9316343930224489,0.9249062748007404
55,10.0,0.0,22.0,0.925,0.9311803703928707,0.9238469864373284
56,10.0,0.0,23.0,0.926,0.9326315125220717,0.9248368854272272
57,10.0,0.0,24.0,0.924,0.9304568323454786,0.9228753469656888
58,10.0,0.0,25.0,0.922,0.9289002837324795,0.9205864516504777
59,10.0,0.0,30.0,0.922,0.9285456937534438,0.9206775447678867
60,10.0,0.0,35.0,0.918,0.9252844301353942,0.9163811361966545
61,10.0,0.0,40.0,0.916,0.9230768112111749,0.914401963021605
62,10.0,0.0,45.0,0.911,0.918661156162573,0.9094170304284249
63,10.0,0.0,50.0,0.903,0.9121003633473108,0.9012203998750392
64,10.0,0.0,60.0,0.893,0.9031453369217196,0.8905833413285936
65,10.0,0.0,70.0,0.885,0.89730436264105,0.882355508662074
66,10.0,0.0,80.0,0.885,0.8987160630023524,0.8821863412707145
67,10.0,0.0,90.0,0.883,0.8987126914285118,0.8803312376114872
68,10.0,0.0,1.0,0.953,0.9541041289086392,0.9523304523665008
69,10.0,0.0,2.0,0.941,0.9442723264906195,0.9399724495820039
70,10.0,0.0,3.0,0.956,0.9570618030293163,0.9553768489072002
71,10.0,0.0,4.0,0.948,0.9504862432476896,0.9470856046460568
72,10.0,0.0,5.0,0.955,0.9568986440582601,0.9542879662428996
73,10.0,0.0,6.0,0.951,0.953414706318565,0.950299120221224
74,10.0,0.0,7.0,0.951,0.9527910953081818,0.9502962656315415
75,10.0,0.0,8.0,0.943,0.944918644354629,0.9420028047065016
76,10.0,0.0,9.0,0.948,0.9499587212894015,0.947226818767469
77,10.0,0.0,10.0,0.943,0.9447800763755033,0.942071250579071
78,10.0,0.0,11.0,0.948,0.9495404444033829,0.9471659879421184
79,10.0,0.0,12.0,0.947,0.9485389470985932,0.9460879136681678
80,10.0,0.0,13.0,0.946,0.947706048494233,0.945043581477862
81,10.0,0.0,14.0,0.945,0.9472009124690587,0.9442000026144812
82,10.0,0.0,15.0,0.943,0.9451498055736753,0.9421813501419465
83,10.0,0.0,16.0,0.942,0.9440631084088252,0.9411203267390734
84,10.0,0.0,17.0,0.941,0.9436118359651277,0.9400653611692024
85,10.0,0.0,18.0,0.942,0.9446774485216487,0.9412059159180044
86,10.0,0.0,19.0,0.94,0.943075176225431,0.9391986736017419
87,10.0,0.0,20.0,0.943,0.9461223171578764,0.9423653957684641
88,10.0,0.0,21.0,0.941,0.9443451927084017,0.9402379008254351
89,10.0,0.0,22.0,0.94,0.9433654924505472,0.9392037620805146
90,10.0,0.0,23.0,0.939,0.942230878216526,0.9381852692464877
91,10.0,0.0,24.0,0.939,0.9428598006475164,0.9382229873040078
92,10.0,0.0,25.0,0.94,0.9437126228804255,0.9394029138059821
93,10.0,0.0,30.0,0.935,0.9392638925034026,0.9342532630252635
94,10.0,0.0,35.0,0.931,0.9359048750680057,0.9302349983347094
95,10.0,0.0,40.0,0.921,0.9267367903107949,0.9198552958928724
96,10.0,0.0,45.0,0.92,0.9264410705507238,0.9188352938926723
97,10.0,0.0,50.0,0.92,0.9266514080713686,0.918881563412626
98,10.0,0.0,60.0,0.914,0.9222133953390375,0.91267034941709
99,10.0,0.0,70.0,0.902,0.9116975739936215,0.9005464418194935
100,10.0,0.0,80.0,0.902,0.9117226724857028,0.900433079292959
101,10.0,0.0,90.0,0.894,0.9054636761638198,0.8923695870458015
102,10.0,0.0,1.0,0.952,0.9523565177791713,0.951420934762649
103,10.0,0.0,2.0,0.943,0.9455353199255623,0.942158661217481
104,10.0,0.0,3.0,0.951,0.9521700279593299,0.9505694018649985
105,10.0,0.0,4.0,0.95,0.9516652002006246,0.9495369157867204
106,10.0,0.0,5.0,0.948,0.9497985437583548,0.9473329889379916
107,10.0,0.0,6.0,0.946,0.9481086624409671,0.9454912379251228
108,10.0,0.0,7.0,0.944,0.9463388487009354,0.9436211818839488
109,10.0,0.0,8.0,0.946,0.9482377156080389,0.9453376122386674
110,10.0,0.0,9.0,0.941,0.9437351821458302,0.9402826671837223
111,10.0,0.0,10.0,0.943,0.9462142748654172,0.9423826322048052
112,10.0,0.0,11.0,0.936,0.940086264067339,0.9353915896939606
113,10.0,0.0,12.0,0.936,0.9392171407589862,0.9352862783386493
114,10.0,0.0,13.0,0.937,0.9402869048882355,0.9365742301529169
115,10.0,0.0,14.0,0.93,0.9331069809745115,0.9294297993636842
116,10.0,0.0,15.0,0.931,0.9343753130889205,0.9306179861768712
117,10.0,0.0,16.0,0.932,0.9355064694630325,0.9315765195302064
118,10.0,0.0,17.0,0.929,0.9329100976239454,0.9286239385578232
119,10.0,0.0,18.0,0.931,0.9340298958714943,0.9305694236283084
120,10.0,0.0,19.0,0.926,0.9288356997692656,0.9253765098892771
121,10.0,0.0,20.0,0.925,0.9282665990445093,0.924404126936696
122,10.0,0.0,21.0,0.927,0.9303935334778689,0.9264043269566982
123,10.0,0.0,22.0,0.924,0.9271714385020072,0.9234625904753576
124,10.0,0.0,23.0,0.921,0.9246871595794033,0.9204492843370515
125,10.0,0.0,24.0,0.924,0.9275286069713344,0.9234888579951115
126,10.0,0.0,25.0,0.919,0.9229327430013233,0.9184351142965657
127,10.0,0.0,30.0,0.918,0.9225427061755284,0.9175259759926252
128,10.0,0.0,35.0,0.914,0.919024242935253,0.91350016269701
129,10.0,0.0,40.0,0.911,0.9166525813412585,0.9104443259898576
130,10.0,0.0,45.0,0.91,0.917001721675424,0.9093611926765262
131,10.0,0.0,50.0,0.907,0.9145669479477883,0.9063198116153431
132,10.0,0.0,60.0,0.897,0.9048344589781356,0.8962853324227738
133,10.0,0.0,70.0,0.897,0.9052726359019003,0.8963120855680131
134,10.0,0.0,80.0,0.889,0.8980967378009626,0.8881847647893764
135,10.0,0.0,90.0,0.882,0.8938095803480127,0.8807841478624437
136,10.0,0.0,1.0,0.953,0.9534368391852135,0.9525137870857646
137,10.0,0.0,2.0,0.946,0.9482112298392733,0.9452017289713355
138,10.0,0.0,3.0,0.955,0.956172336261293,0.95451189409716
139,10.0,0.0,4.0,0.953,0.9553531955759679,0.9521991444951319
140,10.0,0.0,5.0,0.952,0.9529784528517877,0.9513438815541473
141,10.0,0.0,6.0,0.949,0.9508295119143277,0.9480043956029494
142,10.0,0.0,7.0,0.95,0.9515231615773919,0.949418025976976
143,10.0,0.0,8.0,0.942,0.9427967847185423,0.9409639470887516
144,10.0,0.0,9.0,0.948,0.9489253304960428,0.9473166318294641
145,10.0,0.0,10.0,0.947,0.9483675522099265,0.9462879579455921
146,10.0,0.0,11.0,0.95,0.951511953253269,0.9491378821442005
147,10.0,0.0,12.0,0.95,0.9516469776526872,0.9494546801123143
148,10.0,0.0,13.0,0.948,0.949530536379718,0.947270152651471
149,10.0,0.0,14.0,0.949,0.9505855704866295,0.9485485686798871
150,10.0,0.0,15.0,0.944,0.9458211786497015,0.9435751869432172
151,10.0,0.0,16.0,0.942,0.94449441472525,0.9416318501644844
152,10.0,0.0,17.0,0.942,0.9447529041775955,0.9415340059020363
153,10.0,0.0,18.0,0.94,0.9427687161050734,0.9397002146932449
154,10.0,0.0,19.0,0.943,0.9454036435541873,0.9424296380476683
155,10.0,0.0,20.0,0.941,0.9439863575292058,0.9404264329194632
156,10.0,0.0,21.0,0.941,0.9438779704522539,0.9404035391465694
157,10.0,0.0,22.0,0.942,0.9448242764127601,0.9415253340183642
158,10.0,0.0,23.0,0.941,0.9443100282630649,0.9405157186337488
159,10.0,0.0,24.0,0.938,0.9414867685295452,0.9375024124954427
160,10.0,0.0,25.0,0.936,0.9400010492982253,0.9354658343075487
161,10.0,0.0,30.0,0.93,0.9337184970082412,0.9293539126758251
162,10.0,0.0,35.0,0.933,0.9365235442747561,0.9323141016096983
163,10.0,0.0,40.0,0.928,0.9317822656522005,0.9272385485078294
164,10.0,0.0,45.0,0.926,0.9312494659673002,0.9250100445556411
165,10.0,0.0,50.0,0.917,0.9233679389780727,0.9158516437459246
166,10.0,0.0,60.0,0.915,0.9229565341486323,0.9140089287847234
167,10.0,0.0,70.0,0.909,0.9175465275886419,0.9080746073306001
168,10.0,0.0,80.0,0.906,0.9143952858895306,0.9052406716018622
169,10.0,0.0,90.0,0.898,0.9085705224808457,0.8969866230188664
170,10.0,0.0,1.0,0.948,0.9495162736250835,0.9468687733170327
171,10.0,0.0,2.0,0.941,0.9423174932106673,0.9395105758142286
172,10.0,0.0,3.0,0.945,0.9466991459896974,0.9440553731944872
173,10.0,0.0,4.0,0.943,0.9448064742822195,0.9420921404484248
174,10.0,0.0,5.0,0.941,0.9428473405257451,0.9400277524957488
175,10.0,0.0,6.0,0.946,0.9480387155378069,0.9452770464028722
176,10.0,0.0,7.0,0.942,0.9443593347869379,0.9409071107829365
177,10.0,0.0,8.0,0.949,0.9513740108008877,0.948324331647591
178,10.0,0.0,9.0,0.942,0.9442810733984043,0.9407863798333235
179,10.0,0.0,10.0,0.94,0.9423367756308831,0.93880196804628
180,10.0,0.0,11.0,0.938,0.9407190842648486,0.9368612954871212
181,10.0,0.0,12.0,0.937,0.9394734069712978,0.935793960044786
182,10.0,0.0,13.0,0.938,0.9400103590316554,0.9368928611436871
183,10.0,0.0,14.0,0.939,0.9416734973536398,0.9380670779363898
184,10.0,0.0,15.0,0.934,0.9372999438024081,0.9328072939331198
185,10.0,0.0,16.0,0.938,0.9407472985930809,0.9370574625517746
186,10.0,0.0,17.0,0.934,0.9373762361399844,0.9328851291096392
187,10.0,0.0,18.0,0.932,0.9354097245254145,0.9307798659517443
188,10.0,0.0,19.0,0.931,0.9344693724702978,0.9299095339431241
189,10.0,0.0,20.0,0.93,0.9329433823935902,0.9287018307552231
190,10.0,0.0,21.0,0.93,0.9326110717309005,0.9286641126977029
191,10.0,0.0,22.0,0.925,0.9279660078728476,0.9235637379985789
192,10.0,0.0,23.0,0.927,0.9305066690894355,0.9257438312247899
193,10.0,0.0,24.0,0.927,0.9302366618973312,0.9257964628037373
194,10.0,0.0,25.0,0.924,0.9276782600014372,0.9227487196835605
195,10.0,0.0,30.0,0.925,0.9290149078315313,0.9237914502724089
196,10.0,0.0,35.0,0.924,0.9281850803224835,0.922801351262508
197,10.0,0.0,40.0,0.917,0.9219164669350188,0.9155929179553253
