,K,alpha,k,accuracy,precision,recall,n
0,5.0,20.0,1.0,0.05,0.005,0.1,100.0
1,5.0,20.0,2.0,0.05,0.005,0.1,100.0
2,5.0,20.0,3.0,0.05,0.005,0.1,100.0
3,5.0,20.0,4.0,0.05,0.005,0.1,100.0
4,5.0,20.0,5.0,0.05,0.005,0.1,100.0
5,5.0,20.0,6.0,0.05,0.005,0.1,100.0
6,5.0,20.0,7.0,0.05,0.005,0.1,100.0
7,5.0,20.0,8.0,0.05,0.005,0.1,100.0
8,5.0,20.0,9.0,0.1,0.01,0.1,100.0
9,5.0,20.0,10.0,0.05,0.005,0.1,100.0
10,5.0,20.0,11.0,0.05,0.005,0.1,100.0
11,5.0,20.0,12.0,0.05,0.005,0.1,100.0
12,5.0,20.0,13.0,0.05,0.005,0.1,100.0
13,5.0,20.0,14.0,0.05,0.005,0.1,100.0
14,5.0,20.0,15.0,0.05,0.005,0.1,100.0
15,5.0,20.0,16.0,0.05,0.005,0.1,100.0
16,5.0,20.0,17.0,0.05,0.005,0.1,100.0
17,5.0,20.0,18.0,0.05,0.005,0.1,100.0
18,5.0,20.0,19.0,0.05,0.005,0.1,100.0
19,5.0,20.0,20.0,0.2,0.02,0.1,100.0
20,5.0,20.0,21.0,0.05,0.005,0.1,100.0
21,5.0,20.0,22.0,0.2,0.02,0.1,100.0
22,5.0,20.0,23.0,0.05,0.005,0.1,100.0
23,5.0,20.0,24.0,0.05,0.005,0.1,100.0
24,5.0,20.0,1.0,0.15,0.10555555555555556,0.2,100.0
25,5.0,20.0,2.0,0.1,0.01111111111111111,0.1,100.0
26,5.0,20.0,3.0,0.15,0.11052631578947367,0.15,100.0
27,5.0,20.0,4.0,0.15,0.11052631578947367,0.15,100.0
28,5.0,20.0,5.0,0.15,0.11052631578947367,0.15,100.0
29,5.0,20.0,6.0,0.15,0.11052631578947367,0.15,100.0
30,5.0,20.0,7.0,0.1,0.01111111111111111,0.1,100.0
31,5.0,20.0,8.0,0.1,0.010526315789473684,0.1,100.0
32,5.0,20.0,9.0,0.1,0.010526315789473684,0.1,100.0
33,5.0,20.0,10.0,0.1,0.010526315789473684,0.1,100.0
34,5.0,20.0,11.0,0.15,0.11052631578947367,0.15,100.0
35,5.0,20.0,12.0,0.1,0.01,0.1,100.0
36,5.0,20.0,13.0,0.1,0.01,0.1,100.0
37,5.0,20.0,14.0,0.15,0.016666666666666666,0.1,100.0
38,5.0,20.0,15.0,0.15,0.015,0.1,100.0
39,5.0,20.0,16.0,0.15,0.015,0.1,100.0
40,5.0,20.0,17.0,0.15,0.015,0.1,100.0
41,5.0,20.0,18.0,0.1,0.010526315789473684,0.1,100.0
42,5.0,20.0,19.0,0.1,0.010526315789473684,0.1,100.0
43,5.0,20.0,20.0,0.1,0.010526315789473684,0.1,100.0
44,5.0,20.0,21.0,0.1,0.010526315789473684,0.1,100.0
45,5.0,20.0,22.0,0.1,0.010526315789473684,0.1,100.0
46,5.0,20.0,23.0,0.1,0.01111111111111111,0.1,100.0
47,5.0,20.0,24.0,0.1,0.01111111111111111,0.1,100.0
48,5.0,20.0,1.0,0.05,0.005263157894736842,0.1,100.0
49,5.0,20.0,2.0,0.1,0.010526315789473684,0.1,100.0
