,K,alpha,k,accuracy,precision,recall,n,time_pca,time_knn
0,3.0,13.0,5.0,0.16279069767441862,0.2235632183908046,0.16499999999999998,128.0,911702751.0,5930576.0
1,3.0,13.0,5.0,0.18604651162790697,0.4121212121212121,0.16999999999999998,128.0,858567612.0,7155262.0
2,3.0,13.0,5.0,0.11904761904761904,0.11111111111111112,0.125,128.0,1131978556.0,5615945.0
3,3.0,0.0,5.0,0.11627906976744186,0.1354679802955665,0.11499999999999999,128.0,3857.0,13645740.0
4,3.0,0.0,5.0,0.13953488372093023,0.20909090909090908,0.12,128.0,8776.0,16454308.0
5,3.0,0.0,5.0,0.11904761904761904,0.11081081081081082,0.125,128.0,5831.0,16774151.0
6,3.0,13.0,5.0,0.5116279069767442,0.47373043623043626,0.4826190476190478,256.0,6561839481.0,28200872.0
7,3.0,13.0,5.0,0.43529411764705883,0.3767599067599068,0.4217857142857143,256.0,8840168359.0,23521467.0
8,3.0,13.0,5.0,0.4,0.3919047619047619,0.37567460317460316,256.0,5680111840.0,23077171.0
9,3.0,0.0,5.0,0.5232558139534884,0.5690749601275917,0.49440476190476196,256.0,5060.0,80116976.0
10,3.0,0.0,5.0,0.38823529411764707,0.3564160839160839,0.37,256.0,5220.0,80125118.0
11,3.0,0.0,5.0,0.4117647058823529,0.4386662679425838,0.39329365079365075,256.0,3837.0,79205640.0
12,3.0,13.0,5.0,0.7543859649122807,0.753192293639864,0.7508491203498944,512.0,37025275558.0,85658890.0
13,3.0,13.0,5.0,0.7134502923976608,0.7166095385522631,0.7133585411836186,512.0,31970870890.0,85239503.0
14,3.0,13.0,5.0,0.7941176470588235,0.7995482295482297,0.7885912698412698,512.0,41825540227.0,84598808.0
15,3.0,0.0,5.0,0.7426900584795322,0.7754870129870131,0.7377048626468132,512.0,5470.0,560446581.0
16,3.0,0.0,5.0,0.7426900584795322,0.7794916400803499,0.7390349481100256,512.0,5090.0,557555467.0
17,3.0,0.0,5.0,0.7588235294117647,0.7733444333444335,0.7526587301587302,512.0,6031.0,555209223.0
18,3.0,13.0,5.0,0.8362573099415205,0.8395936846452937,0.8340497367307194,1024.0,94897825361.0,319200561.0
19,3.0,13.0,5.0,0.8328445747800587,0.8356284934025939,0.8338793038356993,1024.0,105082979269.0,319747986.0
20,3.0,13.0,5.0,0.8475073313782991,0.8465749336999335,0.8461383414145043,1024.0,81317269357.0,320210224.0
21,3.0,0.0,5.0,0.8304093567251462,0.8396916192252879,0.8314391923197249,1024.0,7504.0,3281093536.0
22,3.0,0.0,5.0,0.8357771260997068,0.8429619023920807,0.837492218698614,1024.0,6101.0,3275910893.0
23,3.0,0.0,5.0,0.8387096774193549,0.8408929956607976,0.8376761770075725,1024.0,5811.0,3276574727.0
24,3.0,13.0,5.0,0.87701317715959,0.8747294430011003,0.873371382527241,2048.0,89461814508.0,1148299926.0
25,3.0,13.0,5.0,0.8667642752562226,0.8666513673877455,0.8633299546760916,2048.0,106392172141.0,1149307696.0
26,3.0,13.0,5.0,0.873900293255132,0.8727976910011263,0.8692604547969205,2048.0,83294125770.0,1145969002.0
27,3.0,0.0,5.0,0.8931185944363104,0.8995523210373223,0.8921396160505246,2048.0,8506.0,13209018680.0
28,3.0,0.0,5.0,0.8667642752562226,0.8750599766351869,0.8639945883060458,2048.0,7524.0,13140279665.0
29,3.0,0.0,5.0,0.8914956011730205,0.9003521558666996,0.888642564083816,2048.0,7464.0,13282802912.0
30,3.0,13.0,5.0,0.9019033674963397,0.9005891391363747,0.899789339763543,4096.0,98387283019.0,4350311459.0
31,3.0,13.0,5.0,0.9018315018315018,0.8997657289585602,0.898965163394989,4096.0,149893704465.0,4368883645.0
32,3.0,13.0,5.0,0.895970695970696,0.8948238550849416,0.893248525374551,4096.0,105921270001.0,4354903663.0
33,3.0,0.0,5.0,0.9143484626647145,0.9161842780359212,0.9127461710546075,4096.0,6993.0,52408180205.0
34,3.0,0.0,5.0,0.9179487179487179,0.9204677966989493,0.9162965962573534,4096.0,10289.0,52420103967.0
35,3.0,0.0,5.0,0.9084249084249084,0.9110492288706187,0.9068081907800808,4096.0,6261.0,52445216337.0
36,3.0,13.0,5.0,0.9260344196265105,0.9252602635724244,0.9251108062232941,8192.0,126755031708.0,16917890618.0
37,3.0,13.0,5.0,0.916147931160747,0.9156055670019697,0.914840675752289,8192.0,146757372151.0,16878103610.0
38,3.0,13.0,5.0,0.910989010989011,0.9111669266411081,0.9100752872642495,8192.0,131015850758.0,17064053525.0
39,3.0,0.0,5.0,0.9370194068106921,0.93939834530628,0.9358519368658607,8192.0,6803.0,209545475882.0
40,3.0,0.0,5.0,0.9355547418528012,0.9377085431315841,0.9347024129652107,8192.0,6422.0,209387258051.0
41,3.0,0.0,5.0,0.9282051282051282,0.9318494343563156,0.9275081693086873,8192.0,7183.0,209284008476.0
42,3.0,13.0,5.0,0.9357378249725375,0.9348400984935656,0.9352573725740472,16384.0,175730620108.0,66571521760.0
43,3.0,13.0,5.0,0.9298663248489287,0.9292930198122654,0.9292361778052562,16384.0,202414355902.0,66741260840.0
44,3.0,13.0,5.0,0.9381065738875664,0.9374062158017162,0.9372334080445907,16384.0,176979836671.0,66608071024.0
45,3.0,0.0,5.0,0.9551446356645917,0.9557169546408966,0.9545356044695792,16384.0,7254.0,836892987444.0
46,3.0,0.0,5.0,0.9483611060245376,0.9502053705819609,0.9474539260310652,16384.0,6973.0,836449754889.0
47,3.0,0.0,5.0,0.9489104559604468,0.9496736137797332,0.9479452899191158,16384.0,6733.0,837296563348.0
