,n_autovalores,criterio,tiempo
0,1.0,iteration,0.522142767
1,1.0,vector_delta,8.1994e-05
2,1.0,eigen_value,7.3528e-05
3,1.0,iteration,0.46988964
4,1.0,vector_delta,6.5423e-05
5,1.0,eigen_value,6.5452e-05
6,1.0,iteration,0.469051672
7,1.0,vector_delta,6.345e-05
8,1.0,eigen_value,6.3939e-05
9,1.0,iteration,0.501180616
10,1.0,vector_delta,7.3528e-05
11,1.0,eigen_value,7.5351e-05
12,1.0,iteration,0.483763411
13,1.0,vector_delta,9.031e-05
14,1.0,eigen_value,0.000108763
15,1.0,iteration,0.473948996
16,1.0,vector_delta,6.383e-05
17,1.0,eigen_value,6.5723e-05
18,1.0,iteration,0.469366523
19,1.0,vector_delta,7.3668e-05
20,1.0,eigen_value,7.1423e-05
21,1.0,iteration,0.475243
22,1.0,vector_delta,6.3569e-05
23,1.0,eigen_value,6.7207e-05
24,1.0,iteration,0.469712095
25,1.0,vector_delta,6.0113e-05
26,1.0,eigen_value,6.4291e-05
27,1.0,iteration,0.482662245
28,1.0,vector_delta,5.9201e-05
29,1.0,eigen_value,6.2177e-05
30,1.0,iteration,0.485188301
31,1.0,vector_delta,6.8869e-05
32,1.0,eigen_value,0.000118242
33,1.0,iteration,0.480005007
34,1.0,vector_delta,6.1355e-05
35,1.0,eigen_value,6.5793e-05
36,1.0,iteration,0.465011091
37,1.0,vector_delta,6.4782e-05
38,1.0,eigen_value,6.6835e-05
39,1.0,iteration,0.468449395
40,1.0,vector_delta,6.1825e-05
41,1.0,eigen_value,6.4921e-05
42,1.0,iteration,0.468154562
43,1.0,vector_delta,8.6982e-05
44,1.0,eigen_value,6.7406e-05
45,1.0,iteration,0.475421671
46,1.0,vector_delta,5.6335e-05
47,1.0,eigen_value,5.832e-05
48,1.0,iteration,0.470170456
49,1.0,vector_delta,5.6516e-05
50,1.0,eigen_value,5.7718e-05
51,1.0,iteration,0.469237143
52,1.0,vector_delta,5.3931e-05
53,1.0,eigen_value,5.7918e-05
54,1.0,iteration,0.468887103
55,1.0,vector_delta,6.9891e-05
56,1.0,eigen_value,6.3378e-05
57,1.0,iteration,0.469671383
58,1.0,vector_delta,5.4553e-05
59,1.0,eigen_value,5.856e-05
60,1.0,iteration,0.467476796
61,1.0,vector_delta,5.3972e-05
62,1.0,eigen_value,6.1956e-05
63,1.0,iteration,0.469440265
64,1.0,vector_delta,5.5233e-05
65,1.0,eigen_value,5.7528e-05
66,1.0,iteration,0.470468721
67,1.0,vector_delta,8.5501e-05
68,1.0,eigen_value,6.2758e-05
69,1.0,iteration,0.470882204
70,1.0,vector_delta,5.4593e-05
71,1.0,eigen_value,5.7558e-05
72,1.0,iteration,0.4876085
73,1.0,vector_delta,5.6225e-05
74,1.0,eigen_value,5.9923e-05
75,1.0,iteration,0.495341396
76,1.0,vector_delta,5.7648e-05
77,1.0,eigen_value,5.9953e-05
78,1.0,iteration,0.526185011
79,1.0,vector_delta,6.0904e-05
80,1.0,eigen_value,6.7005e-05
81,1.0,iteration,0.513901691
82,1.0,vector_delta,5.7087e-05
83,1.0,eigen_value,6.0614e-05
84,1.0,iteration,0.499703247
85,1.0,vector_delta,8.6302e-05
86,1.0,eigen_value,7.6613e-05
87,1.0,iteration,0.481764279
88,1.0,vector_delta,5.6726e-05
89,1.0,eigen_value,7.1825e-05
90,2.0,iteration,0.796349273
