,K,alpha,k,accuracy,precision,recall,n,time_knn,time_pca
0,5.0,21.0,5.0,0.05,0.005,0.1,100.0,2825462.0,314903261.0
1,5.0,21.0,5.0,0.15,0.11052631578947367,0.15,100.0,2770168.0,391677639.0
2,5.0,21.0,5.0,0.15,0.11052631578947367,0.15,100.0,2861510.0,282400820.0
3,5.0,21.0,5.0,0.1,0.01,0.1,100.0,2838105.0,123585216.0
4,5.0,21.0,5.0,0.1,0.01,0.1,100.0,2862901.0,322355824.0
5,5.0,0.0,5.0,0.05,0.005,0.1,100.0,5198824.0,7985.0
6,5.0,0.0,5.0,0.15,0.11052631578947367,0.15,100.0,5211599.0,8025.0
7,5.0,0.0,5.0,0.15,0.11052631578947367,0.15,100.0,5402206.0,7624.0
8,5.0,0.0,5.0,0.1,0.01,0.1,100.0,5394643.0,8185.0
9,5.0,0.0,5.0,0.1,0.01,0.1,100.0,5494620.0,7374.0
10,5.0,21.0,5.0,0.425,0.3655555555555556,0.4083333333333333,200.0,11011800.0,7847315374.0
11,5.0,21.0,5.0,0.475,0.4411255411255411,0.42000000000000004,200.0,11168294.0,7142617193.0
12,5.0,21.0,5.0,0.425,0.4575,0.41500000000000004,200.0,11123742.0,7382529730.0
13,5.0,21.0,5.0,0.375,0.32083333333333336,0.36666666666666664,200.0,10904358.0,6762674815.0
14,5.0,21.0,5.0,0.4,0.3695238095238095,0.38,200.0,11105607.0,6420027558.0
15,5.0,0.0,5.0,0.35,0.3307142857142857,0.3283333333333333,200.0,31084722.0,7294.0
16,5.0,0.0,5.0,0.45,0.47727272727272724,0.4083333333333334,200.0,30450023.0,7704.0
17,5.0,0.0,5.0,0.375,0.3481060606060606,0.3483333333333333,200.0,30285853.0,7664.0
18,5.0,0.0,5.0,0.375,0.3659340659340659,0.36666666666666664,200.0,28220180.0,8385.0
19,5.0,0.0,5.0,0.375,0.3195238095238095,0.355,200.0,28905694.0,8686.0
20,5.0,21.0,5.0,0.6166666666666667,0.6246253746253746,0.5875,300.0,24629019.0,24501830837.0
21,5.0,21.0,5.0,0.6166666666666667,0.6285714285714286,0.6128571428571428,300.0,25019693.0,17648774674.0
22,5.0,21.0,5.0,0.5333333333333333,0.47978354978354976,0.5092857142857142,300.0,25034081.0,21472003745.0
23,5.0,21.0,5.0,0.5666666666666667,0.5718452380952381,0.5503968253968253,300.0,24327905.0,17661913239.0
24,5.0,21.0,5.0,0.48333333333333334,0.4087121212121212,0.4511904761904762,300.0,24570741.0,18204673305.0
25,5.0,0.0,5.0,0.6166666666666667,0.6366666666666667,0.5875,300.0,93688884.0,7343.0
26,5.0,0.0,5.0,0.6166666666666667,0.6834523809523809,0.6054761904761905,300.0,88264629.0,8676.0
27,5.0,0.0,5.0,0.55,0.5847619047619047,0.5342857142857143,300.0,91886552.0,7644.0
28,5.0,0.0,5.0,0.6,0.6816042780748663,0.5781746031746031,300.0,89909943.0,7554.0
29,5.0,0.0,5.0,0.48333333333333334,0.4505586080586081,0.4577380952380953,300.0,93850756.0,6222.0
