,n,K,alpha,k,accuracy,precision,recall,norm
0,200.0,5.0,20.0,5.0,0.425,0.37825396825396823,0.4033333333333333,1
1,200.0,5.0,20.0,5.0,0.5,0.42642857142857143,0.445,1
2,200.0,5.0,20.0,5.0,0.475,0.515,0.45999999999999996,1
3,200.0,5.0,20.0,5.0,0.35,0.31893939393939397,0.3416666666666667,1
4,200.0,5.0,20.0,5.0,0.375,0.3583333333333333,0.36,1
5,200.0,5.0,20.0,5.0,0.4,0.3584126984126984,0.3833333333333333,2
6,200.0,5.0,20.0,5.0,0.5,0.4447619047619048,0.4533333333333333,2
7,200.0,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,2
8,200.0,5.0,20.0,5.0,0.375,0.3175,0.36666666666666664,2
9,200.0,5.0,20.0,5.0,0.4,0.3761904761904762,0.38,2
10,200.0,5.0,20.0,5.0,0.3,0.3056349206349206,0.29333333333333333,3
11,200.0,5.0,20.0,5.0,0.475,0.4197619047619048,0.42000000000000004,3
12,200.0,5.0,20.0,5.0,0.425,0.4575,0.41500000000000004,3
13,200.0,5.0,20.0,5.0,0.35,0.31785714285714284,0.3416666666666667,3
14,200.0,5.0,20.0,5.0,0.425,0.3820779220779221,0.40499999999999997,3
15,200.0,5.0,20.0,5.0,0.275,0.2892063492063492,0.2633333333333333,4
16,200.0,5.0,20.0,5.0,0.5,0.43611111111111106,0.445,4
17,200.0,5.0,20.0,5.0,0.425,0.45619047619047626,0.41500000000000004,4
18,200.0,5.0,20.0,5.0,0.375,0.28833333333333333,0.36166666666666664,4
19,200.0,5.0,20.0,5.0,0.375,0.3502930402930403,0.355,4
20,200.0,5.0,20.0,5.0,0.275,0.2785714285714286,0.2633333333333333,5
21,200.0,5.0,20.0,5.0,0.525,0.4867063492063492,0.47000000000000003,5
22,200.0,5.0,20.0,5.0,0.45,0.4677777777777778,0.43500000000000005,5
23,200.0,5.0,20.0,5.0,0.375,0.2911111111111111,0.36166666666666664,5
24,200.0,5.0,20.0,5.0,0.425,0.40583333333333327,0.40499999999999997,5
25,200.0,5.0,20.0,5.0,0.3,0.2719047619047619,0.2966666666666667,6
26,200.0,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,6
27,200.0,5.0,20.0,5.0,0.4,0.45,0.37666666666666665,6
28,200.0,5.0,20.0,5.0,0.425,0.3704761904761905,0.4066666666666666,6
29,200.0,5.0,20.0,5.0,0.425,0.39386363636363636,0.40499999999999997,6
30,200.0,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,7
31,200.0,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,7
32,200.0,5.0,20.0,5.0,0.45,0.4966666666666667,0.4216666666666667,7
33,200.0,5.0,20.0,5.0,0.4,0.3008333333333334,0.38166666666666665,7
34,200.0,5.0,20.0,5.0,0.375,0.39362637362637365,0.355,7
35,200.0,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,8
36,200.0,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,8
37,200.0,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,8
38,200.0,5.0,20.0,5.0,0.375,0.2786111111111111,0.35666666666666663,8
39,200.0,5.0,20.0,5.0,0.35,0.37916666666666665,0.335,8
40,200.0,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,9
41,200.0,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,9
42,200.0,5.0,20.0,5.0,0.425,0.3939393939393939,0.3883333333333333,9
43,200.0,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,9
44,200.0,5.0,20.0,5.0,0.325,0.275,0.31,9
45,200.0,5.0,20.0,5.0,0.3,0.2683333333333333,0.2966666666666667,10
46,200.0,5.0,20.0,5.0,0.5,0.4989285714285714,0.445,10
47,200.0,5.0,20.0,5.0,0.45,0.4366666666666667,0.4133333333333334,10
48,200.0,5.0,20.0,5.0,0.375,0.2791666666666667,0.35666666666666663,10
49,200.0,5.0,20.0,5.0,0.325,0.275,0.31,10
50,300.0,5.0,20.0,5.0,0.6666666666666666,0.6541239316239317,0.6375,1
51,300.0,5.0,20.0,5.0,0.5666666666666667,0.5903205128205127,0.5446428571428572,1
52,300.0,5.0,20.0,5.0,0.5166666666666667,0.49722222222222223,0.5059523809523809,1
53,300.0,5.0,20.0,5.0,0.55,0.6218633817163228,0.530952380952381,1
54,300.0,5.0,20.0,5.0,0.55,0.5612121212121213,0.5146428571428572,1
55,300.0,5.0,20.0,5.0,0.65,0.657558275058275,0.6208333333333333,2
56,300.0,5.0,20.0,5.0,0.6333333333333333,0.6480952380952381,0.6295238095238095,2
57,300.0,5.0,20.0,5.0,0.5333333333333333,0.47700577200577204,0.5092857142857142,2
58,300.0,5.0,20.0,5.0,0.5833333333333334,0.5951785714285714,0.567063492063492,2
59,300.0,5.0,20.0,5.0,0.48333333333333334,0.4128787878787879,0.4511904761904762,2
60,300.0,5.0,20.0,5.0,0.6166666666666667,0.6694444444444445,0.595,3
61,300.0,5.0,20.0,5.0,0.6333333333333333,0.6431962481962482,0.6211904761904762,3
62,300.0,5.0,20.0,5.0,0.5166666666666667,0.45690476190476187,0.4967857142857143,3
63,300.0,5.0,20.0,5.0,0.5833333333333334,0.601845238095238,0.5637301587301586,3
64,300.0,5.0,20.0,5.0,0.4666666666666667,0.41645021645021646,0.43690476190476185,3
65,300.0,5.0,20.0,5.0,0.6333333333333333,0.6765290265290265,0.6116666666666667,4
66,300.0,5.0,20.0,5.0,0.6333333333333333,0.6519841269841269,0.6211904761904762,4
67,300.0,5.0,20.0,5.0,0.48333333333333334,0.4152380952380953,0.4642857142857143,4
68,300.0,5.0,20.0,5.0,0.5833333333333334,0.6423809523809523,0.5637301587301586,4
69,300.0,5.0,20.0,5.0,0.4666666666666667,0.39357142857142857,0.4386904761904762,4
70,300.0,5.0,20.0,5.0,0.6,0.5965656565656565,0.5700000000000001,5
71,300.0,5.0,20.0,5.0,0.6333333333333333,0.6644871794871794,0.6261904761904762,5
72,300.0,5.0,20.0,5.0,0.48333333333333334,0.41087301587301583,0.46845238095238095,5
73,300.0,5.0,20.0,5.0,0.6,0.669047619047619,0.578015873015873,5
74,300.0,5.0,20.0,5.0,0.45,0.3939393939393939,0.42202380952380947,5
75,300.0,5.0,20.0,5.0,0.5833333333333334,0.5860528360528361,0.545,6
76,300.0,5.0,20.0,5.0,0.6333333333333333,0.6644871794871794,0.6261904761904762,6
77,300.0,5.0,20.0,5.0,0.5,0.41801587301587306,0.4809523809523809,6
78,300.0,5.0,20.0,5.0,0.6,0.6657359307359306,0.578015873015873,6
79,300.0,5.0,20.0,5.0,0.43333333333333335,0.3812121212121212,0.40773809523809523,6
80,300.0,5.0,20.0,5.0,0.5666666666666667,0.4872252747252747,0.5283333333333333,7
81,300.0,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,7
82,300.0,5.0,20.0,5.0,0.48333333333333334,0.4069047619047619,0.46845238095238095,7
83,300.0,5.0,20.0,5.0,0.5833333333333334,0.6574025974025973,0.5669047619047618,7
84,300.0,5.0,20.0,5.0,0.43333333333333335,0.41,0.40773809523809523,7
85,300.0,5.0,20.0,5.0,0.55,0.47211538461538466,0.5116666666666667,8
86,300.0,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,8
87,300.0,5.0,20.0,5.0,0.48333333333333334,0.41166666666666674,0.46845238095238095,8
88,300.0,5.0,20.0,5.0,0.6,0.6769264069264068,0.5835714285714285,8
89,300.0,5.0,20.0,5.0,0.43333333333333335,0.38246031746031744,0.40773809523809523,8
90,300.0,5.0,20.0,5.0,0.5666666666666667,0.4957750582750583,0.5316666666666667,9
91,300.0,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,9
92,300.0,5.0,20.0,5.0,0.48333333333333334,0.4138888888888889,0.46845238095238095,9
93,300.0,5.0,20.0,5.0,0.6,0.6769264069264068,0.5835714285714285,9
94,300.0,5.0,20.0,5.0,0.43333333333333335,0.3745454545454545,0.4053571428571428,9
95,300.0,5.0,20.0,5.0,0.5666666666666667,0.4957750582750583,0.5316666666666667,10
96,300.0,5.0,20.0,5.0,0.6333333333333333,0.661904761904762,0.6186904761904761,10
97,300.0,5.0,20.0,5.0,0.5,0.42161255411255416,0.4809523809523809,10
98,300.0,5.0,20.0,5.0,0.5833333333333334,0.6619264069264068,0.5724603174603174,10
99,300.0,5.0,20.0,5.0,0.45,0.378989898989899,0.42380952380952375,10
100,400.0,5.0,20.0,5.0,0.7,0.713939393939394,0.699047619047619,1
101,400.0,5.0,20.0,5.0,0.675,0.6925,0.665873015873016,1
102,400.0,5.0,20.0,5.0,0.6875,0.7285622710622711,0.6904761904761905,1
103,400.0,5.0,20.0,5.0,0.65,0.6531401931401932,0.6503571428571429,1
104,400.0,5.0,20.0,5.0,0.7625,0.7656135531135531,0.7548809523809522,1
105,400.0,5.0,20.0,5.0,0.7125,0.7183927183927183,0.712936507936508,2
106,400.0,5.0,20.0,5.0,0.7375,0.748510101010101,0.7297619047619047,2
107,400.0,5.0,20.0,5.0,0.675,0.7213797313797314,0.6693650793650793,2
108,400.0,5.0,20.0,5.0,0.7125,0.7311363636363636,0.7146428571428571,2
109,400.0,5.0,20.0,5.0,0.75,0.7807326007326008,0.7503174603174603,2
110,400.0,5.0,20.0,5.0,0.7,0.6979256854256854,0.6962698412698411,3
111,400.0,5.0,20.0,5.0,0.7,0.7049062049062049,0.6936507936507936,3
112,400.0,5.0,20.0,5.0,0.6875,0.7238400488400489,0.6893253968253968,3
113,400.0,5.0,20.0,5.0,0.725,0.7333874458874459,0.7271428571428571,3
114,400.0,5.0,20.0,5.0,0.75,0.7757326007326009,0.7461507936507937,3
115,400.0,5.0,20.0,5.0,0.6875,0.688998778998779,0.6796031746031745,4
116,400.0,5.0,20.0,5.0,0.6875,0.691969696969697,0.6825396825396826,4
117,400.0,5.0,20.0,5.0,0.6375,0.6575252525252525,0.6332539682539682,4
118,400.0,5.0,20.0,5.0,0.7125,0.7233225108225108,0.7188095238095238,4
119,400.0,5.0,20.0,5.0,0.75,0.7684598734598735,0.740595238095238,4
120,400.0,5.0,20.0,5.0,0.65,0.6523809523809523,0.6448809523809522,5
121,400.0,5.0,20.0,5.0,0.675,0.671969696969697,0.6682539682539682,5
122,400.0,5.0,20.0,5.0,0.65,0.6699764124764125,0.6457539682539681,5
123,400.0,5.0,20.0,5.0,0.6625,0.6704761904761904,0.6645238095238095,5
124,400.0,5.0,20.0,5.0,0.7625,0.7741558441558442,0.751706349206349,5
125,400.0,5.0,20.0,5.0,0.6375,0.6281746031746032,0.6337698412698411,6
126,400.0,5.0,20.0,5.0,0.675,0.6801748251748252,0.6682539682539682,6
127,400.0,5.0,20.0,5.0,0.6375,0.6582556332556333,0.6332539682539682,6
128,400.0,5.0,20.0,5.0,0.675,0.6844444444444444,0.6770238095238096,6
129,400.0,5.0,20.0,5.0,0.775,0.8147619047619049,0.7683730158730159,6
130,400.0,5.0,20.0,5.0,0.6375,0.6281746031746032,0.6337698412698411,7
131,400.0,5.0,20.0,5.0,0.6625,0.6722077922077923,0.6557539682539681,7
132,400.0,5.0,20.0,5.0,0.6375,0.6633349983349983,0.6332539682539682,7
133,400.0,5.0,20.0,5.0,0.65,0.6616883116883117,0.6478571428571429,7
134,400.0,5.0,20.0,5.0,0.775,0.8147619047619049,0.7683730158730159,7
135,400.0,5.0,20.0,5.0,0.65,0.6342352092352093,0.6462698412698412,8
136,400.0,5.0,20.0,5.0,0.65,0.6582792207792207,0.6414682539682539,8
137,400.0,5.0,20.0,5.0,0.6375,0.6633349983349983,0.6332539682539682,8
138,400.0,5.0,20.0,5.0,0.65,0.6616883116883117,0.6478571428571429,8
139,400.0,5.0,20.0,5.0,0.7625,0.8074891774891775,0.751706349206349,8
140,400.0,5.0,20.0,5.0,0.6375,0.620901875901876,0.6296031746031746,9
141,400.0,5.0,20.0,5.0,0.65,0.6582792207792207,0.6414682539682539,9
142,400.0,5.0,20.0,5.0,0.65,0.6830319680319681,0.6457539682539681,9
143,400.0,5.0,20.0,5.0,0.6625,0.6783549783549784,0.6603571428571429,9
144,400.0,5.0,20.0,5.0,0.775,0.8173260073260075,0.7628174603174603,9
145,400.0,5.0,20.0,5.0,0.65,0.6375685425685427,0.6462698412698413,10
146,400.0,5.0,20.0,5.0,0.65,0.6513095238095239,0.6414682539682539,10
147,400.0,5.0,20.0,5.0,0.6375,0.6710064935064934,0.6332539682539682,10
148,400.0,5.0,20.0,5.0,0.6625,0.6783549783549784,0.6603571428571429,10
149,400.0,5.0,20.0,5.0,0.7625,0.8039926739926742,0.7461507936507935,10
150,500.0,5.0,20.0,5.0,0.78,0.8159324009324009,0.7809848484848485,1
151,500.0,5.0,20.0,5.0,0.71,0.7089285714285714,0.7023407148407148,1
152,500.0,5.0,20.0,5.0,0.75,0.753929403929404,0.747387334887335,1
153,500.0,5.0,20.0,5.0,0.81,0.8281460206460206,0.8125582750582749,1
154,500.0,5.0,20.0,5.0,0.77,0.7798971861471862,0.7676262626262627,1
155,500.0,5.0,20.0,5.0,0.78,0.8137196137196137,0.7843939393939394,2
156,500.0,5.0,20.0,5.0,0.76,0.76245670995671,0.7536441336441337,2
157,500.0,5.0,20.0,5.0,0.74,0.7377922077922079,0.7376748251748253,2
158,500.0,5.0,20.0,5.0,0.81,0.8266558441558441,0.8125582750582749,2
159,500.0,5.0,20.0,5.0,0.78,0.7930894105894106,0.7758838383838385,2
160,500.0,5.0,20.0,5.0,0.77,0.7923659673659674,0.7707828282828284,3
161,500.0,5.0,20.0,5.0,0.77,0.7788023088023088,0.7675330225330226,3
162,500.0,5.0,20.0,5.0,0.74,0.751013431013431,0.736478243978244,3
163,500.0,5.0,20.0,5.0,0.8,0.8190800865800867,0.8048659673659673,3
164,500.0,5.0,20.0,5.0,0.8,0.815556943056943,0.7967171717171716,3
165,500.0,5.0,20.0,5.0,0.75,0.774055944055944,0.748560606060606,4
166,500.0,5.0,20.0,5.0,0.77,0.7807720057720058,0.7661441336441337,4
167,500.0,5.0,20.0,5.0,0.8,0.8091142191142191,0.8023115773115774,4
168,500.0,5.0,20.0,5.0,0.81,0.8288888888888888,0.8091394716394718,4
169,500.0,5.0,20.0,5.0,0.81,0.819628010878011,0.80489898989899,4
170,500.0,5.0,20.0,5.0,0.77,0.805246558996559,0.7687626262626264,5
