,K,alpha,k,accuracy,precision,recall
0,10.0,1.0,1.0,0.21,"[0.77777778 0.66666667 0.         0.         0.15384615 0.15384615
 0.16666667 0.125      0.07692308 0.09090909]","[0.63636364 0.6        0.         0.         0.2        0.22222222
 0.11111111 0.1        0.1        0.11111111]"
1,10.0,1.0,2.0,0.22,"[0.63636364 0.72727273 0.08695652 0.         0.17647059 0.
 0.         0.25       0.         0.        ]","[0.63636364 0.8        0.15384615 0.         0.3        0.
 0.         0.2        0.         0.        ]"
2,10.0,1.0,3.0,0.26,"[0.44444444 0.53333333 0.04166667 0.1        0.18181818 0.2
 0.5        0.16666667 0.33333333 0.25      ]","[0.72727273 0.8        0.07692308 0.11111111 0.2        0.11111111
 0.22222222 0.1        0.1        0.11111111]"
3,10.0,1.0,5.0,0.29,"[0.5        0.5        0.15       0.         0.25       0.2
 0.5        0.16666667 0.14285714 0.25      ]","[0.72727273 0.8        0.23076923 0.         0.2        0.22222222
 0.33333333 0.1        0.1        0.11111111]"
4,10.0,1.0,8.0,0.31,"[0.57142857 0.57142857 0.24       0.25       0.25       0.
 0.2        0.33333333 0.         0.25      ]","[0.72727273 0.8        0.46153846 0.22222222 0.2        0.
 0.11111111 0.3        0.         0.11111111]"
5,10.0,1.0,13.0,0.28,"[0.64285714 0.66666667 0.2173913  0.14285714 0.16666667 0.
 0.14285714 0.08333333 0.14285714 0.2       ]","[0.81818182 0.8        0.38461538 0.11111111 0.1        0.
 0.11111111 0.1        0.1        0.11111111]"
6,10.0,1.0,21.0,0.27,"[0.69230769 0.61538462 0.19047619 0.         0.25       0.
 0.2        0.         0.16666667 0.        ]","[0.81818182 0.8        0.30769231 0.         0.3        0.
 0.11111111 0.         0.2        0.        ]"
7,10.0,1.0,34.0,0.25,"[0.69230769 0.61538462 0.18181818 0.         0.06666667 0.
 0.16666667 0.11111111 0.14285714 0.        ]","[0.81818182 0.8        0.30769231 0.         0.1        0.
 0.11111111 0.1        0.1        0.        ]"
8,10.0,1.0,55.0,0.27,"[0.69230769 0.72727273 0.15       0.         0.14285714 0.
 0.25       0.14285714 0.1        0.        ]","[0.81818182 0.8        0.23076923 0.         0.2        0.
 0.22222222 0.2        0.1        0.        ]"
9,10.0,1.0,89.0,0.26,"[0.64285714 0.72727273 0.1        0.         0.125      0.
 0.125      0.11764706 0.2        0.09090909]","[0.81818182 0.8        0.15384615 0.         0.1        0.
 0.11111111 0.2        0.2        0.11111111]"
10,10.0,1.0,144.0,0.28,"[0.69230769 0.61538462 0.18181818 0.         0.21428571 0.
 0.2        0.07692308 0.15384615 0.125     ]","[0.81818182 0.8        0.15384615 0.         0.3        0.
 0.11111111 0.1        0.2        0.22222222]"
11,10.0,1.0,1.0,0.25,"[0.6        0.66666667 0.26086957 0.         0.22222222 0.22222222
 0.         0.28571429 0.15384615 0.28571429]","[0.27272727 0.6        0.46153846 0.         0.2        0.22222222
 0.         0.2        0.2        0.22222222]"
12,10.0,1.0,2.0,0.33,"[0.57142857 0.63636364 0.3        0.25       0.44444444 0.2
 0.         0.25       0.5        0.        ]","[0.36363636 0.7        0.69230769 0.44444444 0.4        0.22222222
 0.         0.1        0.2        0.        ]"
13,10.0,1.0,3.0,0.28,"[0.6        0.5        0.17241379 0.27272727 0.3        0.2
 0.         0.25       0.25       0.        ]","[0.54545455 0.7        0.38461538 0.33333333 0.3        0.22222222
 0.         0.1        0.1        0.        ]"
14,10.0,1.0,5.0,0.25,"[0.54545455 0.58333333 0.17857143 0.         0.25       0.
 0.         0.16666667 0.28571429 0.33333333]","[0.54545455 0.7        0.38461538 0.         0.2        0.
 0.         0.1        0.2        0.22222222]"
15,10.0,1.0,8.0,0.24,"[0.85714286 0.63636364 0.19354839 0.         0.18181818 0.
 0.         0.         0.14285714 0.4       ]","[0.54545455 0.7        0.46153846 0.         0.2        0.
 0.         0.         0.1        0.22222222]"
16,10.0,1.0,13.0,0.26,"[0.75       0.63636364 0.2        0.         0.23076923 0.
 0.         0.2        0.25       0.25      ]","[0.54545455 0.7        0.46153846 0.         0.3        0.
 0.         0.1        0.2        0.11111111]"
17,10.0,1.0,21.0,0.21,"[0.75       0.58333333 0.125      0.09090909 0.06666667 0.
 0.         0.         0.18181818 0.33333333]","[0.54545455 0.7        0.23076923 0.11111111 0.1        0.
 0.         0.         0.2        0.11111111]"
18,10.0,1.0,34.0,0.17,"[0.75       0.58333333 0.08333333 0.         0.         0.
 0.         0.         0.125      0.        ]","[0.54545455 0.7        0.15384615 0.         0.         0.
 0.         0.         0.2        0.        ]"
19,10.0,1.0,55.0,0.23,"[0.71428571 0.7        0.19230769 0.         0.07692308 0.
 0.         0.16666667 0.125      0.5       ]","[0.45454545 0.7        0.38461538 0.         0.1        0.
 0.         0.2        0.2        0.11111111]"
20,10.0,1.0,89.0,0.22,"[0.71428571 0.7        0.2        0.         0.16666667 0.
 0.         0.07692308 0.0625     0.18181818]","[0.45454545 0.7        0.38461538 0.         0.1        0.
 0.         0.1        0.1        0.22222222]"
21,10.0,1.0,144.0,0.21,"[0.71428571 0.58333333 0.15625    0.         0.33333333 0.
 0.         0.         0.06666667 0.07142857]","[0.45454545 0.7        0.38461538 0.         0.2        0.
 0.         0.         0.1        0.11111111]"
