,n,K,alpha,k,accuracy,precision,recall,tiempoTotal,unsure,time_pca,time_knn,p
0,500.0,2.0,13.0,5.0,0.728,0.6911442314757325,0.7015427728759503,151634849000.0,0.0,75593974472.0,103932250.0,0.0
1,500.0,2.0,13.0,5.0,0.756,0.7498621070860493,0.7302642283016678,151634849000.0,0.0,75752645926.0,103244165.0,0.0
2,500.0,5.0,13.0,5.0,0.75,0.7319248652581987,0.7257856341189675,381220620411.0,0.0,76886868546.0,58877523.0,0.0
3,500.0,5.0,13.0,5.0,0.78,0.7860127526794193,0.7544310627643962,381220620411.0,0.0,75585287879.0,58655628.0,0.0
4,500.0,5.0,13.0,5.0,0.73,0.7173320506653841,0.7178321678321679,381220620411.0,0.0,76877627967.0,59140530.0,0.0
5,500.0,5.0,13.0,5.0,0.78,0.8097242263908931,0.7566304066304066,381220620411.0,0.0,75724587129.0,61476611.0,0.0
6,500.0,5.0,13.0,5.0,0.79,0.801972101972102,0.7554433221099888,381220620411.0,0.0,75564427173.0,60001814.0,0.0
7,500.0,10.0,13.0,5.0,0.74,0.7228835978835979,0.711111111111111,757923596099.0,0.0,77715680083.0,33103831.0,0.0
8,500.0,10.0,13.0,5.0,0.82,0.8,0.8238095238095238,757923596099.0,0.0,77203107229.0,32217269.0,0.0
9,500.0,10.0,13.0,5.0,0.82,0.8451058201058201,0.8015873015873016,757923596099.0,0.0,77351931416.0,34099954.0,0.0
10,500.0,10.0,13.0,5.0,0.8,0.8275132275132274,0.7738095238095238,757923596099.0,0.0,75825455418.0,34278023.0,0.0
11,500.0,10.0,13.0,5.0,0.8,0.821957671957672,0.8018518518518518,757923596099.0,0.0,76174109267.0,32626979.0,0.0
12,500.0,10.0,13.0,5.0,0.74,0.7690476190476191,0.7018518518518518,757923596099.0,0.0,76084880603.0,32122417.0,0.0
13,500.0,10.0,13.0,5.0,0.8,0.8268518518518518,0.7833333333333333,757923596099.0,0.0,75364037853.0,32121496.0,0.0
14,500.0,10.0,13.0,5.0,0.82,0.8444444444444446,0.8111111111111111,757923596099.0,0.0,74830854610.0,31839600.0,0.0
15,500.0,10.0,13.0,5.0,0.8,0.7907407407407407,0.7759259259259259,757923596099.0,0.0,73475970978.0,30899939.0,0.0
16,500.0,10.0,13.0,5.0,0.76,0.8259259259259261,0.7203703703703703,757923596099.0,0.0,72956386458.0,31510225.0,0.0
17,500.0,25.0,13.0,5.0,0.75,0.7222222222222222,0.7037037037037037,1823960680616.0,0.0,73016235594.0,13382545.0,0.0
18,500.0,25.0,13.0,5.0,0.8,0.7407407407407407,0.8333333333333334,1823960680616.0,0.0,73138095866.0,13397237.0,0.0
19,500.0,25.0,13.0,5.0,0.7,0.7037037037037037,0.7222222222222222,1823960680616.0,0.0,72948853672.0,13399711.0,0.0
20,500.0,25.0,13.0,5.0,0.85,0.8703703703703703,0.8518518518518517,1823960680616.0,0.0,73032314669.0,13482825.0,0.0
21,500.0,25.0,13.0,5.0,0.9,0.9074074074074073,0.8888888888888888,1823960680616.0,0.0,72765255001.0,13259276.0,0.0
22,500.0,25.0,13.0,5.0,0.8,0.7037037037037037,0.7222222222222222,1823960680616.0,0.0,73259812665.0,13405928.0,0.0
23,500.0,25.0,13.0,5.0,0.8,0.8148148148148148,0.7777777777777778,1823960680616.0,0.0,73746981527.0,13441768.0,0.0
24,500.0,25.0,13.0,5.0,0.75,0.6944444444444444,0.7222222222222222,1823960680616.0,0.0,73418479273.0,13257060.0,0.0
25,500.0,25.0,13.0,5.0,0.85,0.8888888888888888,0.8518518518518517,1823960680616.0,0.0,73161996523.0,13390491.0,0.0
26,500.0,25.0,13.0,5.0,0.75,0.7777777777777778,0.7962962962962963,1823960680616.0,0.0,73136683181.0,13189032.0,0.0
27,500.0,25.0,13.0,5.0,0.75,0.7592592592592592,0.7222222222222222,1823960680616.0,0.0,72836458060.0,13250690.0,0.0
28,500.0,25.0,13.0,5.0,0.75,0.8148148148148148,0.7777777777777778,1823960680616.0,0.0,73088888604.0,13298809.0,0.0
29,500.0,25.0,13.0,5.0,0.8,0.8518518518518517,0.7777777777777778,1823960680616.0,0.0,73091030693.0,13331619.0,0.0
30,500.0,25.0,13.0,5.0,0.9,0.9259259259259258,0.9074074074074073,1823960680616.0,0.0,73195920423.0,13339546.0,0.0
31,500.0,25.0,13.0,5.0,0.7,0.8518518518518517,0.6666666666666666,1823960680616.0,0.0,73313867963.0,13343803.0,0.0
32,500.0,25.0,13.0,5.0,0.75,0.7962962962962963,0.6851851851851852,1823960680616.0,0.0,72471323546.0,13272090.0,0.0
33,500.0,25.0,13.0,5.0,0.85,0.9259259259259258,0.8518518518518517,1823960680616.0,0.0,72486167444.0,13318687.0,0.0
34,500.0,25.0,13.0,5.0,0.95,0.9629629629629629,0.9444444444444444,1823960680616.0,0.0,72440377783.0,13208912.0,0.0
35,500.0,25.0,13.0,5.0,0.8,0.8148148148148148,0.7962962962962963,1823960680616.0,0.0,72762593920.0,13297889.0,0.0
36,500.0,25.0,13.0,5.0,0.65,0.574074074074074,0.6666666666666666,1823960680616.0,0.0,72439315077.0,13405290.0,0.0
37,500.0,25.0,13.0,5.0,0.7,0.6185185185185185,0.6296296296296295,1823960680616.0,0.0,72443595446.0,13289544.0,0.0
38,500.0,25.0,13.0,5.0,0.85,0.8518518518518517,0.8518518518518517,1823960680616.0,0.0,72501860502.0,13177092.0,0.0
39,500.0,25.0,13.0,5.0,0.75,0.7962962962962963,0.7222222222222222,1823960680616.0,0.0,72290814873.0,13253355.0,0.0
40,500.0,25.0,13.0,5.0,0.85,0.8333333333333334,0.8333333333333334,1823960680616.0,0.0,72456321694.0,13228347.0,0.0
41,500.0,25.0,13.0,5.0,0.75,0.7314814814814814,0.6666666666666666,1823960680616.0,0.0,72614266169.0,13333765.0,0.0
42,500.0,50.0,13.0,5.0,0.7,0.5714285714285714,0.6428571428571429,3648043508646.0,0.0,72496042492.0,6906903.0,0.0
43,500.0,50.0,13.0,5.0,0.8,0.7142857142857143,0.8571428571428571,3648043508646.0,0.0,72532880852.0,6877918.0,0.0
44,500.0,50.0,13.0,5.0,0.8,0.75,0.75,3648043508646.0,0.0,72556094184.0,6872699.0,0.0
45,500.0,50.0,13.0,5.0,0.8,0.6875,0.75,3648043508646.0,0.0,73090567592.0,6989738.0,0.0
46,500.0,50.0,13.0,5.0,0.7,0.5555555555555556,0.5555555555555556,3648043508646.0,0.0,73343980961.0,6869863.0,0.0
47,500.0,50.0,13.0,5.0,0.7,0.5555555555555556,0.5555555555555556,3648043508646.0,0.0,73320344956.0,7147353.0,0.0
48,500.0,50.0,13.0,5.0,0.9,0.8125,0.875,3648043508646.0,0.0,73013526849.0,6934224.0,0.0
49,500.0,50.0,13.0,5.0,0.9,0.8125,0.875,3648043508646.0,0.0,73083322232.0,6955813.0,0.0
50,500.0,50.0,13.0,5.0,0.7,0.5555555555555556,0.6111111111111112,3648043508646.0,0.0,73121974191.0,6840648.0,0.0
51,500.0,50.0,13.0,5.0,0.9,0.8125,0.875,3648043508646.0,0.0,73350665033.0,6951094.0,0.0
52,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,73438426657.0,7175847.0,0.0
53,500.0,50.0,13.0,5.0,1.0,1.0,1.0,3648043508646.0,0.0,73303546541.0,6884690.0,0.0
54,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,72930373784.0,6873639.0,0.0
55,500.0,50.0,13.0,5.0,0.8,0.7037037037037037,0.7777777777777778,3648043508646.0,0.0,72931354500.0,6921129.0,0.0
56,500.0,50.0,13.0,5.0,0.7,0.5555555555555556,0.6666666666666666,3648043508646.0,0.0,72803742290.0,6804620.0,0.0
57,500.0,50.0,13.0,5.0,0.7,0.5,0.6666666666666666,3648043508646.0,0.0,72873495036.0,6944452.0,0.0
58,500.0,50.0,13.0,5.0,0.8,0.7777777777777778,0.7777777777777778,3648043508646.0,0.0,72665921355.0,6989529.0,0.0
59,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,72564011273.0,6967627.0,0.0
60,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,72803543464.0,6902283.0,0.0
61,500.0,50.0,13.0,5.0,0.7,0.6111111111111112,0.7777777777777778,3648043508646.0,0.0,72888011770.0,6801384.0,0.0
62,500.0,50.0,13.0,5.0,0.7,0.5,0.6666666666666666,3648043508646.0,0.0,72756958867.0,6832874.0,0.0
63,500.0,50.0,13.0,5.0,0.7,0.5,0.6666666666666666,3648043508646.0,0.0,72745896139.0,6903246.0,0.0
64,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,72601301666.0,6878419.0,0.0
65,500.0,50.0,13.0,5.0,0.6,0.5185185185185185,0.6666666666666666,3648043508646.0,0.0,72713373074.0,6897665.0,0.0
66,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,72692086265.0,6899860.0,0.0
67,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,73487442089.0,7172692.0,0.0
68,500.0,50.0,13.0,5.0,1.0,1.0,1.0,3648043508646.0,0.0,73179782610.0,6864542.0,0.0
69,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,73215161682.0,6873409.0,0.0
70,500.0,50.0,13.0,5.0,0.4,0.14814814814814814,0.3333333333333333,3648043508646.0,0.0,73385526124.0,7024712.0,0.0
71,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,73280875793.0,6870334.0,0.0
72,500.0,50.0,13.0,5.0,1.0,1.0,1.0,3648043508646.0,0.0,73205466052.0,6967204.0,0.0
73,500.0,50.0,13.0,5.0,0.7,0.6111111111111112,0.6666666666666666,3648043508646.0,0.0,73336782588.0,6957817.0,0.0
