,n_autovalores,criterio,tiempo
0,1.0,iteration,0.000817242
1,1.0,vector_delta,0.000116148
2,1.0,eigen_value,0.000118342
3,1.0,iteration,0.000807765
4,1.0,vector_delta,8.1953e-05
5,1.0,eigen_value,0.000155422
6,1.0,iteration,0.001658249
7,1.0,vector_delta,0.00015518
8,1.0,eigen_value,0.000186079
9,1.0,iteration,0.001594571
10,1.0,vector_delta,0.000128341
11,1.0,eigen_value,0.000172163
12,1.0,iteration,0.001372515
13,1.0,vector_delta,0.00017039
14,1.0,eigen_value,0.000210416
15,1.0,iteration,0.001606162
16,1.0,vector_delta,0.00017063
17,1.0,eigen_value,0.00021327
18,1.0,iteration,0.001390178
19,1.0,vector_delta,0.000140774
20,1.0,eigen_value,0.000165951
21,1.0,iteration,0.001325046
22,1.0,vector_delta,0.000121437
23,1.0,eigen_value,0.000151303
24,1.0,iteration,0.001319185
25,1.0,vector_delta,0.000133781
26,1.0,eigen_value,0.00015492
27,1.0,iteration,0.001310187
28,1.0,vector_delta,0.000117991
29,1.0,eigen_value,0.000152466
30,2.0,iteration,0.002085522
31,2.0,vector_delta,0.000158227
32,2.0,eigen_value,0.001653001
33,2.0,iteration,0.00227072
34,2.0,vector_delta,0.000143529
35,2.0,eigen_value,0.00280455
36,2.0,iteration,0.001245367
37,2.0,vector_delta,0.000138109
38,2.0,eigen_value,0.000646092
39,2.0,iteration,0.00084715
40,2.0,vector_delta,5.4923e-05
41,2.0,eigen_value,0.000723417
42,2.0,iteration,0.000850866
43,2.0,vector_delta,6.0092e-05
44,2.0,eigen_value,0.001168912
45,2.0,iteration,0.000847821
46,2.0,vector_delta,5.8109e-05
47,2.0,eigen_value,0.001167831
48,2.0,iteration,0.000835587
49,2.0,vector_delta,5.3971e-05
50,2.0,eigen_value,0.000144852
51,2.0,iteration,0.000851538
52,2.0,vector_delta,6.4411e-05
53,2.0,eigen_value,0.000707116
54,2.0,iteration,0.0008371
55,2.0,vector_delta,5.6155e-05
56,2.0,eigen_value,0.00067137
57,2.0,iteration,0.00084211
58,2.0,vector_delta,6.6605e-05
59,2.0,eigen_value,0.001129078
60,3.0,iteration,0.001436123
61,3.0,vector_delta,8.4157e-05
62,3.0,eigen_value,0.00080491
63,3.0,iteration,0.001342236
64,3.0,vector_delta,6.5452e-05
65,3.0,eigen_value,0.001278208
66,3.0,iteration,0.001315358
67,3.0,vector_delta,6.6013e-05
68,3.0,eigen_value,0.00139724
69,3.0,iteration,0.001347687
70,3.0,vector_delta,6.5854e-05
71,3.0,eigen_value,0.000894268
72,3.0,iteration,0.001330055
73,3.0,vector_delta,6.5483e-05
74,3.0,eigen_value,0.000292278
75,3.0,iteration,0.001351274
76,3.0,vector_delta,6.6845e-05
77,3.0,eigen_value,0.000886584
78,3.0,iteration,0.001346266
79,3.0,vector_delta,6.7276e-05
80,3.0,eigen_value,0.000724329
81,3.0,iteration,0.001341856
82,3.0,vector_delta,6.6555e-05
83,3.0,eigen_value,0.000933281
84,3.0,iteration,0.001345694
85,3.0,vector_delta,6.5162e-05
86,3.0,eigen_value,0.001362465
87,3.0,iteration,0.001313584
88,3.0,vector_delta,6.4992e-05
89,3.0,eigen_value,0.001858646
90,4.0,iteration,0.001745163
91,4.0,vector_delta,7.5492e-05
92,4.0,eigen_value,0.00098629
93,4.0,iteration,0.001741707
94,4.0,vector_delta,8.5329e-05
95,4.0,eigen_value,0.001749512
96,4.0,iteration,0.002060053
97,4.0,vector_delta,7.459e-05
98,4.0,eigen_value,0.002446769
99,4.0,iteration,0.001741306
100,4.0,vector_delta,7.5232e-05
101,4.0,eigen_value,0.002499567
102,4.0,iteration,0.001848096
103,4.0,vector_delta,7.9299e-05
104,4.0,eigen_value,0.002552968
105,4.0,iteration,0.001862694
106,4.0,vector_delta,7.8017e-05
107,4.0,eigen_value,0.001457813
108,4.0,iteration,0.00179711
109,4.0,vector_delta,7.6674e-05
110,4.0,eigen_value,0.002524746
111,4.0,iteration,0.001813702
112,4.0,vector_delta,7.6202e-05
113,4.0,eigen_value,0.002516279
114,4.0,iteration,0.001779658
115,4.0,vector_delta,7.0653e-05
116,4.0,eigen_value,0.001680712
117,4.0,iteration,0.001759862
118,4.0,vector_delta,7.0071e-05
119,4.0,eigen_value,0.001973451
120,5.0,iteration,0.002508305
121,5.0,vector_delta,8.8206e-05
122,5.0,eigen_value,0.00356674
123,5.0,iteration,0.00277293
124,5.0,vector_delta,0.000147947
125,5.0,eigen_value,0.003435824
126,5.0,iteration,0.002947008
127,5.0,vector_delta,0.00010114
128,5.0,eigen_value,0.00374269
129,5.0,iteration,0.003168121
130,5.0,vector_delta,0.000139792
131,5.0,eigen_value,0.003868647
132,5.0,iteration,0.002817214
133,5.0,vector_delta,0.000116819
134,5.0,eigen_value,0.003054729
135,5.0,iteration,0.002641995
136,5.0,vector_delta,0.000110297
137,5.0,eigen_value,0.004390745
138,5.0,iteration,0.00251121
139,5.0,vector_delta,9.617e-05
140,5.0,eigen_value,0.002746391
141,5.0,iteration,0.003018723
142,5.0,vector_delta,0.000166332
143,5.0,eigen_value,0.004170353
144,5.0,iteration,0.003049268
145,5.0,vector_delta,0.000134914
146,5.0,eigen_value,0.00333698
147,5.0,iteration,0.002999637
148,5.0,vector_delta,0.000130325
149,5.0,eigen_value,0.003959869
150,6.0,iteration,0.00373647
151,6.0,vector_delta,0.00014941
152,6.0,eigen_value,0.005476342
153,6.0,iteration,0.003770341
154,6.0,vector_delta,0.000139141
155,6.0,eigen_value,0.005547655
156,6.0,iteration,0.003259643
157,6.0,vector_delta,0.000171642
158,6.0,eigen_value,0.005396621
159,6.0,iteration,0.003695962
160,6.0,vector_delta,0.000148047
161,6.0,eigen_value,0.005399898
162,6.0,iteration,0.00375902
163,6.0,vector_delta,0.00012277
164,6.0,eigen_value,0.004594367
165,6.0,iteration,0.003760092
166,6.0,vector_delta,0.000121959
167,6.0,eigen_value,0.003888242
168,6.0,iteration,0.003756445
169,6.0,vector_delta,0.000118843
170,6.0,eigen_value,0.005256107
171,6.0,iteration,0.003675825
172,6.0,vector_delta,0.000118202
173,6.0,eigen_value,0.004536699
174,6.0,iteration,0.00410045
175,6.0,vector_delta,0.000132469
176,6.0,eigen_value,0.004595238
177,6.0,iteration,0.003693167
178,6.0,vector_delta,0.000124855
179,6.0,eigen_value,0.005308286
180,7.0,iteration,0.00488956
181,7.0,vector_delta,0.000141887
182,7.0,eigen_value,0.006981165
183,7.0,iteration,0.004821543
184,7.0,vector_delta,0.000144932
185,7.0,eigen_value,0.005107148
186,7.0,iteration,0.004244662
187,7.0,vector_delta,0.000132859
188,7.0,eigen_value,0.005752369
189,7.0,iteration,0.00411039
190,7.0,vector_delta,0.000136516
191,7.0,eigen_value,0.005810518
192,7.0,iteration,0.004240664
193,7.0,vector_delta,0.000119695
194,7.0,eigen_value,0.00582793
195,7.0,iteration,0.004154042
196,7.0,vector_delta,0.000130775
197,7.0,eigen_value,0.004956778
198,7.0,iteration,0.004046119
