,Epsilon,Guarda,Tiempo,Iteraciones,Diferencia
0,1.0,vector_delta,420973376.0,5444.0,18319.124365534444
1,0.1,vector_delta,331751398.0,4443.0,3030.334409423024
2,0.01,vector_delta,100805647.0,1331.0,97.03780439096597
3,0.001,vector_delta,240030780.0,3310.0,1.5079150601263662
4,0.0001,vector_delta,375585224.0,5223.0,0.014659581814090928
5,1e-05,vector_delta,506413582.0,7417.0,0.001425703012138797
6,1e-06,vector_delta,634753035.0,9392.0,0.0013357824938714203
7,1e-07,vector_delta,748758033.0,11125.0,1.3588785946296867e-05
8,1e-08,vector_delta,825740597.0,12696.0,2.9061329743740315e-06
9,1e-09,vector_delta,888971749.0,13626.0,0.00040794705128263333
10,1.0,eigen_value,714140445.0,7162.0,0.0027716500685855293
11,0.1,eigen_value,845536971.0,8660.0,0.0007818960950527298
12,0.01,eigen_value,990564365.0,10201.0,0.00015112165753663475
13,0.001,eigen_value,1126165349.0,11778.0,0.002336539319691724
14,0.0001,eigen_value,1263606923.0,13309.0,0.0004188155598669141
15,1e-05,eigen_value,1372625928.0,14539.0,0.00010230601341874035
16,1e-06,eigen_value,1462482925.0,15429.0,6.970213310751205e-05
17,1e-07,eigen_value,1675115557.0,16698.0,0.008059304862283057
18,1e-08,eigen_value,2052534877.0,17832.0,0.0024835735040025495
19,1e-09,eigen_value,2136049320.0,18915.0,0.001285566160842393
20,1.0,vector_delta,381144604.0,5682.0,18261.168856257118
21,0.1,vector_delta,427418279.0,6329.0,3254.499185996144
22,0.01,vector_delta,183791448.0,2300.0,146.46139018471303
23,0.001,vector_delta,203935997.0,2868.0,0.7235181814218563
24,0.0001,vector_delta,297542935.0,4442.0,0.0068123943637614735
25,1e-05,vector_delta,481307012.0,6643.0,7.130385271393536e-05
26,1e-06,vector_delta,599073682.0,8321.0,7.156398890018068e-07
27,1e-07,vector_delta,662915780.0,10241.0,7.266210211298585e-09
