,n,K,alpha,k,accuracy,precision,recall,norm
0,500.0,10.0,20.0,5.0,0.8,0.8583333333333334,0.805,1
1,500.0,10.0,20.0,5.0,0.78,0.8088095238095239,0.7854761904761904,1
2,500.0,10.0,20.0,5.0,0.76,0.8063095238095238,0.7621428571428571,1
3,500.0,10.0,20.0,5.0,0.72,0.7376190476190476,0.7171428571428571,1
4,500.0,10.0,20.0,5.0,0.7,0.7059523809523809,0.6983333333333334,1
5,500.0,10.0,20.0,5.0,0.72,0.7047619047619047,0.7150000000000001,1
6,500.0,10.0,20.0,5.0,0.84,0.847857142857143,0.8450000000000001,1
7,500.0,10.0,20.0,5.0,0.72,0.7533333333333332,0.7383333333333333,1
8,500.0,10.0,20.0,5.0,0.88,0.8790476190476191,0.8800000000000001,1
9,500.0,10.0,20.0,5.0,0.7,0.7558333333333334,0.7033333333333334,1
10,500.0,10.0,20.0,5.0,0.78,0.8178571428571428,0.7933333333333334,2
11,500.0,10.0,20.0,5.0,0.8,0.8133333333333332,0.8104761904761905,2
12,500.0,10.0,20.0,5.0,0.78,0.8014285714285714,0.7771428571428571,2
13,500.0,10.0,20.0,5.0,0.76,0.7788095238095238,0.7621428571428571,2
14,500.0,10.0,20.0,5.0,0.78,0.7833333333333333,0.7833333333333333,2
15,500.0,10.0,20.0,5.0,0.74,0.7465476190476191,0.7350000000000001,2
16,500.0,10.0,20.0,5.0,0.82,0.8405952380952382,0.825,2
17,500.0,10.0,20.0,5.0,0.76,0.7895238095238095,0.7716666666666667,2
18,500.0,10.0,20.0,5.0,0.8,0.8071428571428573,0.8066666666666666,2
19,500.0,10.0,20.0,5.0,0.74,0.7945238095238095,0.7316666666666667,2
20,500.0,10.0,20.0,5.0,0.74,0.7672619047619048,0.7433333333333334,3
21,500.0,10.0,20.0,5.0,0.84,0.8540476190476192,0.839047619047619,3
22,500.0,10.0,20.0,5.0,0.8,0.8254761904761905,0.8071428571428572,3
23,500.0,10.0,20.0,5.0,0.76,0.7848809523809523,0.7621428571428571,3
24,500.0,10.0,20.0,5.0,0.8,0.8233333333333335,0.8033333333333333,3
25,500.0,10.0,20.0,5.0,0.76,0.8266666666666665,0.745,3
26,500.0,10.0,20.0,5.0,0.86,0.8828571428571429,0.8700000000000001,3
27,500.0,10.0,20.0,5.0,0.76,0.7845238095238095,0.775,3
28,500.0,10.0,20.0,5.0,0.8,0.8071428571428573,0.8066666666666666,3
29,500.0,10.0,20.0,5.0,0.76,0.8047619047619048,0.7566666666666666,3
30,500.0,10.0,20.0,5.0,0.72,0.7796212121212122,0.7183333333333335,4
31,500.0,10.0,20.0,5.0,0.86,0.8716666666666667,0.8533333333333333,4
32,500.0,10.0,20.0,5.0,0.78,0.8245238095238095,0.7714285714285715,4
33,500.0,10.0,20.0,5.0,0.8,0.8215476190476192,0.7964285714285715,4
34,500.0,10.0,20.0,5.0,0.82,0.8416666666666666,0.825,4
35,500.0,10.0,20.0,5.0,0.74,0.7952777777777778,0.7283333333333334,4
36,500.0,10.0,20.0,5.0,0.86,0.8828571428571429,0.8700000000000001,4
37,500.0,10.0,20.0,5.0,0.76,0.7828571428571428,0.7749999999999999,4
38,500.0,10.0,20.0,5.0,0.78,0.7771428571428572,0.7816666666666667,4
39,500.0,10.0,20.0,5.0,0.78,0.8114285714285714,0.7733333333333333,4
40,500.0,10.0,20.0,5.0,0.72,0.7796212121212122,0.7183333333333335,5
41,500.0,10.0,20.0,5.0,0.84,0.8497619047619048,0.8283333333333334,5
42,500.0,10.0,20.0,5.0,0.76,0.815595238095238,0.7464285714285714,5
43,500.0,10.0,20.0,5.0,0.76,0.7898809523809524,0.7571428571428571,5
44,500.0,10.0,20.0,5.0,0.78,0.8,0.785,5
45,500.0,10.0,20.0,5.0,0.74,0.7938888888888889,0.7283333333333334,5
46,500.0,10.0,20.0,5.0,0.84,0.8695238095238096,0.85,5
47,500.0,10.0,20.0,5.0,0.78,0.8011904761904762,0.7916666666666666,5
48,500.0,10.0,20.0,5.0,0.78,0.7821428571428571,0.7866666666666667,5
49,500.0,10.0,20.0,5.0,0.78,0.8114285714285714,0.7733333333333333,5
50,500.0,10.0,20.0,5.0,0.72,0.7796212121212122,0.7183333333333335,6
51,500.0,10.0,20.0,5.0,0.84,0.8508333333333334,0.8283333333333334,6
52,500.0,10.0,20.0,5.0,0.78,0.8263095238095237,0.7714285714285715,6
53,500.0,10.0,20.0,5.0,0.74,0.7298809523809524,0.7421428571428572,6
54,500.0,10.0,20.0,5.0,0.74,0.7733333333333333,0.7433333333333334,6
55,500.0,10.0,20.0,5.0,0.74,0.7938888888888889,0.7283333333333334,6
56,500.0,10.0,20.0,5.0,0.84,0.8628571428571428,0.85,6
57,500.0,10.0,20.0,5.0,0.8,0.8161904761904764,0.8116666666666668,6
58,500.0,10.0,20.0,5.0,0.76,0.7616666666666667,0.77,6
59,500.0,10.0,20.0,5.0,0.78,0.818095238095238,0.7733333333333333,6
60,500.0,10.0,20.0,5.0,0.72,0.7986688311688311,0.7183333333333335,7
61,500.0,10.0,20.0,5.0,0.84,0.8508333333333334,0.8283333333333334,7
62,500.0,10.0,20.0,5.0,0.78,0.8263095238095237,0.7714285714285715,7
63,500.0,10.0,20.0,5.0,0.7,0.6898809523809524,0.6971428571428572,7
64,500.0,10.0,20.0,5.0,0.74,0.7733333333333333,0.7433333333333334,7
65,500.0,10.0,20.0,5.0,0.74,0.8099999999999999,0.725,7
66,500.0,10.0,20.0,5.0,0.84,0.8628571428571428,0.85,7
67,500.0,10.0,20.0,5.0,0.78,0.8011904761904762,0.7916666666666666,7
68,500.0,10.0,20.0,5.0,0.76,0.7616666666666667,0.77,7
69,500.0,10.0,20.0,5.0,0.78,0.818095238095238,0.7733333333333333,7
70,500.0,10.0,20.0,5.0,0.72,0.8117640692640693,0.7183333333333335,8
71,500.0,10.0,20.0,5.0,0.84,0.8508333333333334,0.8283333333333334,8
72,500.0,10.0,20.0,5.0,0.8,0.8352380952380951,0.7914285714285714,8
73,500.0,10.0,20.0,5.0,0.74,0.7680952380952382,0.7421428571428571,8
74,500.0,10.0,20.0,5.0,0.72,0.7566666666666666,0.7266666666666667,8
75,500.0,10.0,20.0,5.0,0.74,0.8099999999999999,0.725,8
76,500.0,10.0,20.0,5.0,0.84,0.8628571428571428,0.85,8
