TTL,Unanswered packages,IP,Average RTT,RTT Difference
1,17,192.168.100.1,97.57689329294058,
2,0,100.65.208.2,106.52197202046712,8.945078727526536
3,0,10.0.0.149,96.11502488454182,
4,0,170.51.254.176,97.90282249450684,1.7877976099650112
5,0,173.241.131.209,231.16413752237955,133.2613150278727
6,0,89.149.186.134,264.60146109263104,33.43732357025149
7,0,208.116.159.206,269.0346956253052,4.433234532674135
8,0,192.77.63.70,258.7456226348877,
11,1,206.167.255.18,267.6667673834439,8.92114474855623
12,0,132.205.236.5,270.92427412668866,3.2575067432447327
13,0,132.205.244.4,264.3269379933675,
