TTL,Unanswered packages,IP,Average RTT,RTT Difference
1,15,192.168.100.1,89.69308535257976,
2,0,100.65.208.2,95.04510561625163,5.352020263671875
3,1,10.0.0.149,96.10518915899868,1.0600835427470514
4,0,170.51.254.176,99.6790885925293,3.573899433530613
5,0,170.51.254.180,100.24286111195882,0.56377251942952
6,5,62.115.41.57,249.09456253051758,148.85170141855878
7,0,62.115.120.176,262.3161554336548,13.221592903137207
8,8,62.115.112.243,332.4450362812389,70.12888084758413
9,3,62.115.123.12,348.80868593851727,16.36364965727836
10,0,62.115.123.77,358.15579891204834,9.347112973531068
11,0,62.115.120.71,366.66591962178546,8.510120709737123
12,0,213.248.100.167,368.1214412053426,1.455521583557129
13,0,188.1.146.209,367.1298583348592,
14,0,188.1.144.214,379.167381922404,12.037523587544797
16,0,129.187.0.168,371.92052205403644,
