TTL,Unanswered packages,IP,Average RTT,RTT Difference
1,13,192.168.100.1,92.46064634884105,
2,0,100.65.208.2,93.71196428934734,1.2513179405062829
3,0,10.0.0.149,83.8897705078125,
4,0,170.51.254.176,87.81951268513997,3.929742177327469
5,0,170.51.254.180,88.95207246144612,1.1325597763061523
6,7,62.115.41.57,242.52325555552608,153.57118309407997
7,0,62.115.113.48,259.65662002563477,17.13336447010869
8,27,62.115.116.212,269.0138022104899,9.357182184855162
9,0,62.115.123.137,301.5856107076009,32.571808497110965
10,0,62.115.112.35,391.72513484954834,90.13952414194745
11,0,62.115.10.7,407.28681087493896,15.561676025390625
12,0,163.139.136.67,402.0241578420003,
13,0,222.230.187.142,409.2676480611165,7.243490219116211
17,1,158.205.121.46,418.9243727716906,9.65672471057411
