TTL,Unanswered packages,IP,Average RTT,RTT Difference
1,13,192.168.100.1,75.76420727898093,
2,0,100.65.208.2,79.38447793324788,3.620270654266946
3,0,10.0.0.149,78.35737069447835,
4,0,170.51.254.176,93.81422996520996,15.456859270731613
5,20,89.221.41.162,201.1230230331421,107.30879306793213
6,0,195.22.209.220,309.54562822977704,108.42260519663495
7,0,149.3.183.69,328.78966331481934,19.2440350850423
8,0,102.16.86.5,326.39838854471844,
9,0,41.188.60.214,340.4294729232788,14.031084378560365
10,0,102.16.3.106,510.08070309956867,169.65123017628986
11,0,41.188.60.236,506.23395442962646,
12,29,197.149.9.195,489.77208137512207,
13,28,102.16.35.118,508.190393447876,18.418312072753906
14,0,41.188.61.238,519.6223338445028,11.431940396626828
